Number,Rider,Team ,Team_code
62,IMANOL ERVITI  ,Movistar Team,MOV
63,GORKA IZAGIRRE INSAUSTI  ,Movistar Team,MOV
64,MATTEO JORGENSON  ,Movistar Team,MOV
65,GREGOR MÜHLBERGER  ,Movistar Team,MOV
66,NELSON OLIVEIRA  ,Movistar Team,MOV
67,ALBERT TORRES BARCELO  ,Movistar Team,MOV
68,CARLOS VERONA QUINTANILLA ,Movistar Team,MOV
71,GUILLAUME MARTIN  ,Cofidis,COF
72,PIERRE LUC PERICHON  ,Cofidis,COF
73,SIMON GESCHKE  ,Cofidis,COF
74,ION IZAGUIRRE INSAUSTI  ,Cofidis,COF
75,VICTOR LAFAY  ,Cofidis,COF
76,ANTHONY PEREZ  ,Cofidis,COF
77,BENJAMIN THOMAS  ,Cofidis,COF
78,MAX WALSCHEID ,Cofidis,COF
81,JACK HAIG  ,Bahrain Victorious,TBV
82,DAMIANO CARUSO  ,Bahrain Victorious,TBV
83,KAMIL GRADEK  ,Bahrain Victorious,TBV
84,MATEJ MOHORIC  ,Bahrain Victorious,TBV
85,LUIS LEON SANCHEZ  ,Bahrain Victorious,TBV
86,DYLAN TEUNS  ,Bahrain Victorious,TBV
87,JAN TRATNIK  ,Bahrain Victorious,TBV
88,FRED WRIGHT ,Bahrain Victorious,TBV
91,DAVID GAUDU  ,Groupama-FDJ,GFC
92,ANTOINE DUCHESNE  ,Groupama-FDJ,GFC
93,KÉVIN GENIETS  ,Groupama-FDJ,GFC
94,STEFAN KÜNG  ,Groupama-FDJ,GFC
95,OLIVIER LE GAC  ,Groupama-FDJ,GFC
96,VALENTIN MADOUAS  ,Groupama-FDJ,GFC
97,THIBAUT PINOT  ,Groupama-FDJ,GFC
98,MICHAEL STORER ,Groupama-FDJ,GFC
101,MATHIEU VAN DER POEL  ,Alpecin-Deceuninck,ADC
102,SILVAN DILLIER  ,Alpecin-Deceuninck,ADC
103,MICHAEL GOGL  ,Alpecin-Deceuninck,ADC
104,ALEXANDER KRIEGER  ,Alpecin-Deceuninck,ADC
105,JASPER PHILIPSEN  ,Alpecin-Deceuninck,ADC
106,EDWARD PLANCKAERT  ,Alpecin-Deceuninck,ADC
107,KRISTIAN SBARAGLI  ,Alpecin-Deceuninck,ADC
108,GUILLAUME VAN KEIRSBULCK ,Alpecin-Deceuninck,ADC
111,ROMAIN BARDET  ,Team DSM,DSM
112,ALBERTO DAINESE  ,Team DSM,DSM
113,JOHN DEGENKOLB  ,Team DSM,DSM
114,NILS EEKHOFF  ,Team DSM,DSM
115,CHRISTOPHER HAMILTON  ,Team DSM,DSM
116,ANDREAS LEKNESSUND  ,Team DSM,DSM
117,MARTIJN TUSVELD  ,Team DSM,DSM
118,KEVIN VERMAERKE ,Team DSM,DSM
121,ALEXANDER KRISTOFF  ,Intermarche-Wanty-Gobert Materiaux,ICW
122,SVEN ERIK BYSTRØM  ,Intermarche-Wanty-Gobert Materiaux,ICW
123,KOBE GOOSSENS  ,Intermarche-Wanty-Gobert Materiaux,ICW
124,LOUIS MEINTJES  ,Intermarche-Wanty-Gobert Materiaux,ICW
125,ANDREA PASQUALON  ,Intermarche-Wanty-Gobert Materiaux,ICW
126,ADRIEN PETIT  ,Intermarche-Wanty-Gobert Materiaux,ICW
127,TACO VAN DER HOORN  ,Intermarche-Wanty-Gobert Materiaux,ICW
128,GEORG ZIMMERMANN ,Intermarche-Wanty-Gobert Materiaux,ICW
131,ALEXEY LUTSENKO  ,Astana-Qazaqstan Team,AST
132,ALEKSANDR RIABUSHENKO  ,Astana-Qazaqstan Team,AST
133,JOSEPH LLOYD DOMBROWSKI  ,Astana-Qazaqstan Team,AST
134,FABIO FELLINE  ,Astana-Qazaqstan Team,AST
135,DMITRIY GRUZDEV  ,Astana-Qazaqstan Team,AST
136,GIANNI MOSCON  ,Astana-Qazaqstan Team,AST
137,SIMONE VELASCO  ,Astana-Qazaqstan Team,AST
138,ANDREY ZEITS ,Astana-Qazaqstan Team,AST
141,RIGOBERTO URAN  ,EF Education-Easypost,EFE
142,RUBEN ANTONIO ALMEIDA GUERREIRO  ,EF Education-Easypost,EFE
143,ALBERTO BETTIOL  ,EF Education-Easypost,EFE
144,STEFAN BISSEGGER  ,EF Education-Easypost,EFE
145,OWAIN DOULL  ,EF Education-Easypost,EFE
146,MAGNUS CORT NIELSEN  ,EF Education-Easypost,EFE
147,NEILSON POWLESS  ,EF Education-Easypost,EFE
148,JONAS RUTSCH ,EF Education-Easypost,EFE
151,NAIRO QUINTANA  ,Team Arkea-Samsic,ARK
152,WARREN BARGUIL  ,Team Arkea-Samsic,ARK
153,MAXIME BOUET  ,Team Arkea-Samsic,ARK
154,AMAURY CAPIOT  ,Team Arkea-Samsic,ARK
155,HUGO HOFSTETTER  ,Team Arkea-Samsic,ARK
156,MATIS LOUVEL  ,Team Arkea-Samsic,ARK
157,LUKASZ OWSIAN  ,Team Arkea-Samsic,ARK
158,CONNOR SWIFT ,Team Arkea-Samsic,ARK
161,CALEB EWAN  ,Lotto-Soudal,LTD
162,FREDERIK FRISON  ,Lotto-Soudal,LTD
163,PHILIPPE GILBERT  ,Lotto-Soudal,LTD
164,REINARDT JANSE VAN RENSBURG  ,Lotto-Soudal,LTD
165,ANDREAS KRON  ,Lotto-Soudal,LTD
166,BRENT VAN MOER  ,Lotto-Soudal,LTD
167,FLORIAN VERMEERSCH  ,Lotto-Soudal,LTD
168,TIM WELLENS ,Lotto-Soudal,LTD
171,MADS PEDERSEN  ,Trek-Segafredo,TFS
172,GIULIO CICCONE  ,Trek-Segafredo,TFS
173,TONY GALLOPIN  ,Trek-Segafredo,TFS
174,ALEX KIRSCH  ,Trek-Segafredo,TFS
175,BAUKE MOLLEMA  ,Trek-Segafredo,TFS
176,QUINN SIMMONS  ,Trek-Segafredo,TFS
177,TOMS SKUJINS  ,Trek-Segafredo,TFS
178,JASPER STUYVEN ,Trek-Segafredo,TFS
181,PETER SAGAN  ,Totalenergies,TEN
182,EDVALD BOASSON-HAGEN  ,Totalenergies,TEN
183,MACIEJ BODNAR  ,Totalenergies,TEN
184,MATHIEU BURGAUDEAU  ,Totalenergies,TEN
185,PIERRE LATOUR  ,Totalenergies,TEN
186,DANIEL OSS  ,Totalenergies,TEN
187,ANTHONY TURGIS  ,Totalenergies,TEN
188,ALEXIS VUILLERMOZ ,Totalenergies,TEN
191,CHRIS FROOME  ,Israel-Premier Tech,IPT
192,GUILLAUME BOIVIN  ,Israel-Premier Tech,IPT
193,SIMON CLARKE  ,Israel-Premier Tech,IPT
194,JAKOB FUGLSANG  ,Israel-Premier Tech,IPT
195,GUY NIV  ,Israel-Premier Tech,IPT
196,HUGO HOULE  ,Israel-Premier Tech,IPT
197,KRISTS NEILANDS  ,Israel-Premier Tech,IPT
198,MICHAEL WOODS ,Israel-Premier Tech,IPT
201,MICHAEL MATTHEWS  ,Team Bikeexchange-Jayco,BEX
202,JACK BAUER  ,Team Bikeexchange-Jayco,BEX
203,LUKE DURBRIDGE  ,Team Bikeexchange-Jayco,BEX
204,DYLAN GROENEWEGEN  ,Team Bikeexchange-Jayco,BEX
205,AMUND GRØNDAHL JANSEN  ,Team Bikeexchange-Jayco,BEX
206,CHRISTOPHER JUUL JENSEN  ,Team Bikeexchange-Jayco,BEX
207,LUKA MEZGEC  ,Team Bikeexchange-Jayco,BEX
208,NICHOLAS SCHULTZ ,Team Bikeexchange-Jayco,BEX
211,FRANCK BONNAMOUR  ,B&B Hotels-KTM,BBK
212,CYRIL BARTHE  ,B&B Hotels-KTM,BBK
213,ALEXIS GOUGEARD  ,B&B Hotels-KTM,BBK
214,JÉRÉMY LECROQ  ,B&B Hotels-KTM,BBK
215,CYRIL LEMOINE  ,B&B Hotels-KTM,BBK
216,LUCA MOZZATO  ,B&B Hotels-KTM,BBK
217,PIERRE ROLLAND  ,B&B Hotels-KTM,BBK
218,SEBASTIAN SCHÖNBERGER ,B&B Hotels-KTM,BBK
